,transaction_descriptor,store_number,start,end
0,DOLRTREE 2257 00022574 ROSWELL,2257,9,13
1,AUTOZONE #3547,3547,10,14
2,TGI FRIDAYS 1485 0000,1485,12,16
3,BUFFALO WILD WINGS 003,3,21,22
4,J. CREW #568 0,568,9,12
5,KRISPY KREME 0040        GREENVILLE   SC,40,15,17
6,FIVE GUYS MN 1847 ECOM   612-339-9733 MN,1847,13,17
7,CASEYS GEN STORE 2650,2650,17,21
8,HUDDLE HOUSE 535,535,13,16
9,JAMBA JUICE #1305,1305,13,17
10,ANN TAYLOR FACTORY #2202,2202,20,24
11,Subway 26824,26824,7,12
12,MARSHALLS #0688,688,12,15
13,OREILLY AUTO #4681,4681,14,18
14,TA #227 BARSTOW REST,227,4,7
15,SONIC #3207,3207,7,11
16,HY VEE 1040,1040,7,11
17,MCDONALD'S F1013,F1013,11,16
18,CHEVRON 00207812,207812,10,16
19,EXPRESS#0920,920,9,12
20,MCDONALD'S F16829,F16829,11,17
21,CHEVRON 0208998    Q61,208998,9,15
22,STARBUCKS STORE 49134,49134,16,21
23,CHEVRON 0302900,302900,9,15
24,CIRCLE K 01251,1251,10,14
25,NST BEST BUY #479  002610,479,14,17
26,HOLIDAY STNSTORE 0354,354,18,21
27,DOMINO'S 7430,7430,9,13
28,NST ROSS STORE #483280353,483280353,16,25
29,MCDONALD'S F5579,F5579,11,16
30,NST ROSS STORES #10262660,10262660,17,25
31,HOLIDAY STNSTORE 0447,447,18,21
32,NST BEST BUY #25   232381,25,14,16
33,MEIJER # 196,196,9,12
34,SUBWAY        00516260,516260,16,22
35,DOMINO'S 6870,6870,9,13
36,MARATHON PETRO045518,45518,15,20
37,MCDONALD'S F2128,F2128,11,16
38,DOLLAR GENERAL #22357,22357,16,21
39,SUNOCO 0748361300,748361300,8,17
40,MCDONALD'S F3172,F3172,11,16
41,DENNY'S #9505,9505,9,13
42,THE HOME DEPOT #1407,1407,16,20
43,PAPA JOHN'S 01548.COM,1548,13,17
44,CIRCLE K # 06524         OCALA        FL,6524,12,16
45,AutoZone 6425 711 E MAI,6425,9,13
46,THE HOME DEPOT #6853,6853,16,20
47,TEXACO 0308296,308296,8,14
48,NNT LANE BRYANT 455460,5546,17,21
49,HOLIDAY STNSTORE 0142,142,18,21
50,NST ROSS STORES #11572299,11572299,17,25
51,DOMINO'S 3857,3857,9,13
52,WEST MARINE #1327,1327,13,17
53,NST BEST BUY #27   002732,27,14,16
54,HOLIDAY STNSTORE 0303,303,18,21
55,PALAIS ROYAL #24,24,14,16
56,MEIJER # 209 128,209,9,12
57,DENNY'S #7350 180073,7350,9,13
58,NST BEST BUY #1783 532412,1783,14,18
59,WAL-MART #1316,1316,10,14
60,WALGREENS #4102,4102,11,15
61,NST ROSS STORES #11002986,11002986,17,25
62,CNS EXPRESS#0098   670753,98,14,16
63,NST BEST BUY #1774 532399,1774,14,18
64,CIRCLE K 02910,2910,10,14
65,NNT SEARS HOMETOWN 231594,2315,19,23
66,NST ROSS STORES #10630845,10630845,17,25
67,DAIRY QUEEN #42,42,13,15
68,HOLIDAY STNSTORE 0437,437,18,21
69,NNT FAMOUS FOOTWEAR572264,572264,19,25
70,NNT BURLNGTON STORE171793,171793,19,25
71,SUBWAY        03312162,3312162,15,22
72,JIMMY JOHNS # 4 - ECO,4,14,15
73,CVS/PHARMACY #01858 00000,1858,15,19
74,MCDONALD'S F26490,F26490,11,17
75,JIMMY JOHNS - 974,974,14,17
76,NNT FAMOUS FOOTWEAR881706,881706,19,25
77,WENDY'S 3626,3626,8,12
78,CIRCLE K 06286,6286,10,14
79,BIG O TIRES #6255        GRAND JUNCTIOCO,6255,13,17
80,NST ROSS STORES #14560807,14560807,17,25
81,TACO BELL 739723,739723,10,16
82,BOSTON MARKET 0113,113,15,18
83,NST ROSS STORES #14782798,14782798,17,25
84,SUBWAY 25139             FORT MOJAVE  AZ,25139,7,12
85,DENNY'S #9386,9386,9,13
86,NST ROSS STORES #12862950,12862950,17,25
87,ARBYS #7591 CAMBRIDGE,7591,7,11
88,CASEYS GEN STORE 2,2,17,18
89,NST BEST BUY #500  970304,500,14,17
90,MCDONALD'S F35869MCDONALD'S F35869,F35869,11,17
91,NNT FAMOUS FOOTWEAR470811,470811,19,25
92,SUNOCO 0374572602,374572602,8,17
93,DOMINO'S 9502,9502,9,13
94,KFC G020029,G020029,4,11
95,DUNKIN #355514,355514,8,14
96,THE HOME DEPOT #6828,6828,16,20
97,RUE21 #1129 BLUE,1129,7,11
98,WM SUPERCENTER #34,34,16,18
99,RACETRAC485   00004853,485,8,11
